Index,Day,Month,Year,Initials,SVL,VT,R,Weight,Sex,Page,Comments,PredictedMass,CorrectedMass,FinalMass,,
25949,16,2,1989,MEM,104,112,C,47.5,J,41,,39.09764144,47.68005054,47.5,,
25951,16,2,1989,MEM,89,94,C,24.96,J,41,,20.61502171,25.14027038,24.96,,
26049,16,2,1989,MEM,44,45,C,3.49,J,41,,2.89844982,3.534694902,3.49,,
26045,16,2,1989,MEM,41,43,C,3.18,J,41,,2.629639998,3.206878047,3.18,,
26073,16,2,1989,MEM,42,46,C,2.78,J,41,,2.281377697,2.782167923,2.78,,
26077,16,2,1989,MEM,46,46,C,3.7,J,41,,3.084473198,3.76155268,3.7,,
26079,16,2,1989,MEM,46,46,C,3.75,J,41,,3.126155268,3.812384473,3.75,,
26114,12,2,1989,MEM,64,66,C,10.55,J,41,,8.7494311,10.67003793,10.55,,
26129,12,2,1989,MEM,56,56,C,5.85,J,41,,4.876802218,5.947319778,5.85,,
26137,12,2,1989,MEM,49,54,C,4.74,J,41,,3.88550243,4.738417597,4.74,,
26144,6,11,1949,WD,130,138,C,105,J,41,,86.6453202,105.6650246,105,,
26161,7,8,1992,AC,248,281,C,590,M,41,,481.196459,586.8249501,590,,
26174,,2,1988,MEM,107.8,115,C,55.95,J,41,,46.12968281,56.25571074,55.95,,
26175,8,2,1972,IC,265,305,C,759.5,M,41,,617.6412241,753.221005,759.5,,
26177,16,2,1989,MEM,103,112,C,37.3,J,41,,30.64930041,37.37719562,37.3,,
26201,16,2,1989,MEM,87,94,C,23.11,J,41,,19.01098748,23.18413108,23.11,,
26205,16,2,1989,MEM,68,70,C,11.16,J,41,,9.258138931,11.29041333,11.16,,
26207,16,2,1989,MEM,43,43,C,2.91,J,42,,2.425896488,2.958410351,2.91,,
26318,16,2,1989,MEM,52,52,C,5.09,J,42,,4.24323475,5.174676525,5.09,,
26321,15,2,1989,MEM,51,54,C,4.62,J,42,,3.814099279,4.651340584,4.62,,
26329,14,2,1989,MEM,113,128,C,56.94,J,42,,46.44196373,56.63654114,56.94,,
26333,14,2,1989,MEM,78,86,C,20.6,J,42,,16.88491542,20.59136027,20.6,,
26369,11,2,1989,MEM,68,71,C,12.09,J,42,,10.00529224,12.20157591,12.09,,
26399A,10,2,1989,MEM,68,69,C,12.39,J,42,,10.30360974,12.56537773,12.39,,
26401,,11,1987,LG/AC,191,212,C,251,F,42,9 E,205.4855114,250.5920871,251,,
26424,,2,1988,MEM,108,133,C,65.78,J,42,,52.80352418,64.39454168,65.78,,
26428,,2,1988,MEM,47.5,46,C,3.61,J,42,,3.025338875,3.689437653,3.61,,
26431,,11,1987,AC/LG,192,204,C,265,F,42,0 E,218.6416648,266.6361765,265,,
26433,14,2,1989,MEM,133,145,C,89.37,J,42,,73.40080114,89.51317213,89.37,,
26463,12,2,1989,MEM,140,160,C,101.77,J,42,,82.87023214,101.0612587,101.77,,
26521,10,2,1989,MEM,52,53,C,4.84,J,43,,4.021957338,4.904826022,4.84,,
26625,9,2,1989,MEM,115,113,C,55.18,J,43,,46.13380672,56.2607399,55.18,,
26527,10,2,1989,MEM,71,72,C,13.99,J,43,,11.63538064,14.18948858,13.99,,
26528,6,11,1949,WD,122,140,C,75,J,43,,61.02525805,74.42104641,75,,
26529,12,11,1987,LG/AC,206,210,C,363,F,43,12 E,301.6374613,367.8505626,363,,
26544,,2,1988,MEM,91.1,98,C,32.43,J,43,,26.6985844,32.55924927,32.43,,
26552,,2,1988,MEM,85.8,88,C,25.49,J,43,,21.15926235,25.80397848,25.49,,
26553,12,11,1987,LG/AC,207,220,C,325,F,43,10 E,268.1321085,326.9903762,325,,
26556,,2,1988,MEM,45,46,C,3.74,J,43,,3.106335175,3.788213628,3.74,,
26589,9,2,1989,MEM,123,130,C,66.97,J,43,,55.30535796,67.44555848,66.97,,
26591,9,2,1989,MEM,92,87,C,23.69,J,43,,19.92914886,24.30384007,23.69,,
26592,6,11,1949,WD,106,122,C,55,J,43,,44.72714592,54.5452999,55,,
26593,22,4,1971,IC,159,161,C,124,J,43,,103.1556747,125.7996032,124,,
26608,,3,1988,MEM,51.2,56,C,5.52,J,43,,4.531034012,5.525651234,5.52,,
26616,,2,1988,MEM,81.2,90,C,24.47,J,44,,20.03794093,24.43651333,24.47,,
26620,,2,1988,MEM,54,58,C,5.24,J,44,,4.315106512,5.262325015,5.24,,
26622,,2,1988,MEM,54.2,59,C,5.87,J,44,,4.822426884,5.881008395,5.87,,
26624,6,11,1949,WD,248,152,C,539,,44,,480.2599579,585.6828755,539,,
28672,6,11,1949,WD,159,152,C,170,J,44,,142.7646418,174.1032217,170,,
28697,14,11,1971,IC,197,222,C,260,F,44,,212.2655223,258.8603931,260,,
29216,19,11,1971,IC,166,185,C,145,J,44,,118.6193671,144.6577648,145,,
29697,6,11,1949,WD,203,203,C,369,M,44,,307.6136784,375.1386322,369,,
29710,10,11,1971,IC,102,101,C,32,J,44,,26.72010455,32.58549336,32,,
29721,6,11,1949,WD,197,241,C,340,,45,,273.2838778,333.2730217,340,,
29725,6,11,1949,WD,152,178,C,170,J,45,,137.7978527,168.0461619,170,,
29726A,11,11,1971,IC,204,206,C,250,F?,45,,208.0709944,253.7451151,250,,
29727,6,11,1949,WD,127,152,C,100,J,45,,80.72071818,98.43990022,100,,
29728,6,11,1949,WD,190,229,C,397,,45,,320.0275635,390.2775165,397,,
29744,,3,1988,MEM,43.1,49,C,3.84,J,45,,3.129905695,3.816958164,3.84,,
29752,,2,1988,MEM,67.2,72,C,11.29,J,45,,9.301286534,11.34303236,11.29,,
29756,,2,1988,MEM,41.5,44,C,2.69,J,45,,2.220244967,2.707615814,2.69,,
29760,25,4,1971,IC,181,174,C,183.7,J,45,,154.1315713,187.9653308,183.7,,
30208,12,11,1971,IC,202,225,C,200,F,46,,163.6288526,199.5473813,200,,
30209,13,11,1988,MEM,61.9,66,C,9.37,J,46,,7.726086942,9.422057247,9.37,,
30233,10,11,1988,MEM,80.8,86,C,27,J,46,,22.26989099,27.15840365,27,,
30239,9,11,1988,MEM,66.6,69,C,12.71,,46,,10.53244128,12.84444058,12.71,,
30240,6,11,1949,WD,184,222,C,312,,46,,251.4568976,306.6547531,312,,
30265,,11,1987,AC/LG,205,228,C,345,F,46,10 E,282.3365789,344.3129011,345,,
30268,,2,1988,MEM,48,54,C,4.53,J,46,,3.699465822,4.511543685,4.53,,
30465,8,11,1988,MEM,69.1,68,C,13.93,J,46,,11.64345962,14.19934101,13.93,,
30489,8,11,1988,MEM,40.4,42,C,2.73,J,46,,2.260944892,2.757249868,2.73,,
30496,6,11,1949,WD,248,159,C,610,,47,,540.8081929,659.5221865,610,,
30512,,3,1988,MEM,90,95,C,31.56,J,47,,26.06879121,31.79120879,31.56,,
30520,,2,1988,MEM,49.6,52,C,6.59,J,47,,5.449827872,6.646131551,6.59,,
30521,13,11,1971,IC,248,285,C,550,M,47,,447.3985076,545.6079361,550,,
30557,17,11,1988,MEM,130,135,C,147.03,J,47,,121.7910271,148.5256428,147.03,,
30559,14,11,1988,MEM,45.1,49,C,3.95,J,47,,3.246184662,3.958761783,3.95,,
30593,21,7,1988,MEM,80.1,90,C,22.97,J,47,,18.76295468,22.88165205,22.97,,
30609,20,7,1988,MEM,60.1,65,C,8.07,J,47,,6.637459968,8.094463376,8.07,,
30617,,4,1988,MEM,131.5,140,C,104.52,J,47,,86.20521622,105.1283125,104.52,,
30618,,4,1988,MEM,62.3,65,C,9.92,J,47,,8.210526787,10.01283755,9.92,,
30624,6,11,1949,WD,184,146,C,312,,47,,269.3500895,328.4757189,312,,
30640,,2,1988,MEM,45.8,52,C,4.91,J,47,,4.003030415,4.881744409,4.91,,
30641,,12,1987,MEM,122,128,C,66.81,J,47,,55.24360284,67.37024736,66.81,,
30652,,2,1988,MEM,62.3,66,C,9.57,J,48,,7.899896907,9.634020619,9.57,,
30653,1,12,1987,MEM,105,110,C,42.9,J,48,,35.48213256,43.27089337,42.9,,
30659,5,1,1988,MEM,86,89,C,21.9,J,48,,18.15141038,22.13586631,21.9,,
30688,6,11,1949,WD,216,254,C,425,,48,,344.2232864,419.7844957,425,,
30704,,2,1988,MEM,43.5,50,C,4.5,J,48,,3.660395547,4.463897009,4.5,,
30705A,5,1,1988,MEM,47.1,49,C,3.09,J,48,,2.558780334,3.120463822,3.09,,
30712,,2,1988,MEM,55.5,63,C,7.94,J,48,,6.473580886,7.894610837,7.94,,
30712,11,8,1992,AC,123,121,C,70,J,48,,58.51317752,71.35753357,70,,
30716,,2,1988,MEM,115.9,129,C,77.46,J,48,,63.38207373,77.29521187,77.46,,
30717,10,11,1971,IC,289,322,C,720,M,48,,589.0325699,718.3324023,720,,
30718,,2,1988,MEM,114,117,C,54.68,J,48,,45.38482371,55.34734599,54.68,,
30719,5,1,1988,MEM,62,67,C,8.37,J,48,,6.885206519,8.396593316,8.37,,
30720,6,11,1949,WD,216,285,C,454,,48,,359.3751645,438.2623958,454,,
30756,26,11,1988,CHD/AC,198,217,C,240,F,49,,196.9302018,240.1587827,240,,
31551,10,2,1989,MEM,65,20,C,10.91,J,49,,10.27885746,12.53519203,10.91,,
31680,13,11,1971,IC,210,236,C,325,F,49,,265.465718,323.7386805,325,,
31761,17,12,1949,WD,165,178,C,200,J,49,,164.571239,200.6966329,200,,
31775A,24,1,1976,DN,281,306,C,824,M,50,,676.9019712,825.4902088,824,,
31777,6,1,1988,MEM,46,49,C,4.93,J,50,,4.065740976,4.958220703,4.93,,
